id,text
1,Police arrested a suspect in Berlin on Monday after an attack near the station.
2,An earthquake struck near Istanbul causing damage in several districts.
3,Leaders signed a new agreement in Geneva to reduce tariffs.
4,Officials said an explosion killed three people in a factory in Texas.
5,The government detained two activists in the capital after protests.
6,A wildfire spread in California and forced evacuations on Tuesday.
7,The company signed a deal with a major bank in London.
8,An armed group attacked a convoy in Mali according to local reports.
9,Floods in India left thousands displaced after heavy rains.
10,Authorities said the suspect was arrested in Paris after the incident.
